CASE_10361 | NEW | HIGH | artifacts=2
CASE_1081 | NEW | HIGH | artifacts=5
CASE_10648 | NEW | HIGH | artifacts=3
CASE_10809 | NEW | HIGH | artifacts=2
CASE_10255 | NEW | HIGH | artifacts=1
CASE_10723 | NEW | HIGH | artifacts=4
CASE_10849 | NEW | HIGH | artifacts=2
CASE_10559 | NEW | HIGH | artifacts=2
CASE_1063 | NEW | HIGH | artifacts=2
CASE_10696 | NEW | HIGH | artifacts=2
CASE_10959 | NEW | HIGH | artifacts=2
CASE_10151 | NEW | HIGH | artifacts=1
CASE_101 | NEW | HIGH | artifacts=3
CASE_10998 | NEW | HIGH | artifacts=2
CASE_10876 | NEW | HIGH | artifacts=1
CASE_10351 | NEW | HIGH | artifacts=1
CASE_10843 | NEW | HIGH | artifacts=2
CASE_10340 | NEW | HIGH | artifacts=6
CASE_10228 | NEW | HIGH | artifacts=2
CASE_10966 | NEW | HIGH | artifacts=2
CASE_10856 | NEW | HIGH | artifacts=4
CASE_10756 | NEW | HIGH | artifacts=2
CASE_10100 | NEW | HIGH | artifacts=2
CASE_10300 | NEW | HIGH | artifacts=3
CASE_10280 | NEW | HIGH | artifacts=4
CASE_1066 | NEW | HIGH | artifacts=3
CASE_10599 | NEW | HIGH | artifacts=2
CASE_10385 | NEW | HIGH | artifacts=1
CASE_10887 | NEW | HIGH | artifacts=3
CASE_10328 | NEW | HIGH | artifacts=1
CASE_10872 | NEW | HIGH | artifacts=1
CASE_10106 | NEW | HIGH | artifacts=3
CASE_10949 | NEW | HIGH | artifacts=1
CASE_10490 | NEW | HIGH | artifacts=1
CASE_10640 | NEW | HIGH | artifacts=1
CASE_10118 | NEW | HIGH | artifacts=2
CASE_10257 | NEW | HIGH | artifacts=2
CASE_10129 | NEW | HIGH | artifacts=2
CASE_1094 | NEW | HIGH | artifacts=2
CASE_1013 | NEW | HIGH | artifacts=2
CASE_10598 | NEW | HIGH | artifacts=2
CASE_10195 | NEW | HIGH | artifacts=1
CASE_10726 | NEW | HIGH | artifacts=2
CASE_10161 | NEW | HIGH | artifacts=3
CASE_1087 | NEW | HIGH | artifacts=2
CASE_10933 | NEW | HIGH | artifacts=3
CASE_10345 | NEW | HIGH | artifacts=1
CASE_10608 | NEW | HIGH | artifacts=1
CASE_10864 | NEW | HIGH | artifacts=3
CASE_10149 | NEW | HIGH | artifacts=2
CASE_10233 | NEW | HIGH | artifacts=2
CASE_10912 | NEW | HIGH | artifacts=2
CASE_10185 | NEW | HIGH | artifacts=1
CASE_10822 | NEW | HIGH | artifacts=1
CASE_10806 | NEW | HIGH | artifacts=2
CASE_10327 | NEW | HIGH | artifacts=2
CASE_10138 | NEW | HIGH | artifacts=1
CASE_1024 | NEW | HIGH | artifacts=1
CASE_10730 | NEW | HIGH | artifacts=2
CASE_1058 | NEW | HIGH | artifacts=1
CASE_102 | NEW | HIGH | artifacts=2
CASE_10845 | NEW | HIGH | artifacts=3
CASE_10474 | NEW | HIGH | artifacts=2
CASE_10511 | NEW | HIGH | artifacts=1
CASE_10428 | NEW | HIGH | artifacts=1
CASE_10946 | NEW | HIGH | artifacts=2
CASE_10695 | NEW | HIGH | artifacts=2
CASE_10975 | NEW | HIGH | artifacts=1
CASE_1083 | NEW | HIGH | artifacts=3
CASE_1067 | NEW | HIGH | artifacts=2
CASE_10819 | NEW | HIGH | artifacts=1
CASE_10302 | NEW | HIGH | artifacts=1
CASE_10578 | NEW | HIGH | artifacts=1
CASE_10205 | NEW | HIGH | artifacts=2
CASE_10458 | NEW | HIGH | artifacts=2
CASE_10677 | NEW | HIGH | artifacts=1
CASE_10612 | NEW | HIGH | artifacts=2
CASE_10221 | NEW | HIGH | artifacts=1
CASE_10420 | NEW | HIGH | artifacts=1
CASE_10123 | NEW | HIGH | artifacts=1
CASE_10751 | NEW | HIGH | artifacts=2
CASE_1096 | NEW | HIGH | artifacts=1
CASE_10395 | NEW | HIGH | artifacts=1
CASE_10370 | NEW | HIGH | artifacts=1
CASE_10615 | NEW | HIGH | artifacts=1
CASE_10320 | NEW | HIGH | artifacts=2
CASE_10217 | NEW | HIGH | artifacts=4
CASE_10676 | NEW | HIGH | artifacts=1
CASE_10963 | NEW | HIGH | artifacts=2
CASE_10406 | NEW | HIGH | artifacts=2
CASE_10732 | NEW | HIGH | artifacts=2
CASE_10799 | NEW | HIGH | artifacts=2
CASE_10363 | NEW | HIGH | artifacts=2
CASE_10626 | NEW | HIGH | artifacts=1
CASE_10812 | NEW | HIGH | artifacts=1
CASE_10572 | NEW | HIGH | artifacts=1
CASE_10512 | NEW | HIGH | artifacts=2
CASE_10496 | NEW | HIGH | artifacts=1
CASE_10266 | NEW | HIGH | artifacts=1
CASE_10501 | NEW | HIGH | artifacts=1
CASE_1026 | NEW | HIGH | artifacts=1
CASE_10180 | NEW | HIGH | artifacts=1
CASE_10344 | NEW | HIGH | artifacts=2
CASE_1010 | NEW | HIGH | artifacts=1
CASE_10538 | NEW | HIGH | artifacts=2
CASE_10613 | NEW | HIGH | artifacts=2
CASE_10827 | NEW | HIGH | artifacts=1
CASE_10929 | NEW | HIGH | artifacts=1
CASE_10658 | NEW | HIGH | artifacts=3
CASE_10356 | NEW | HIGH | artifacts=2
CASE_10381 | NEW | HIGH | artifacts=1
CASE_10995 | NEW | HIGH | artifacts=2
CASE_10103 | NEW | HIGH | artifacts=2
CASE_10927 | NEW | HIGH | artifacts=1
CASE_10289 | NEW | HIGH | artifacts=2
CASE_10279 | NEW | HIGH | artifacts=1
CASE_10515 | NEW | HIGH | artifacts=2
CASE_10776 | NEW | HIGH | artifacts=3
CASE_10104 | NEW | HIGH | artifacts=2
CASE_10519 | NEW | HIGH | artifacts=2
CASE_10593 | NEW | HIGH | artifacts=2
CASE_10793 | NEW | HIGH | artifacts=1
CASE_10651 | NEW | HIGH | artifacts=1
CASE_10828 | NEW | HIGH | artifacts=1
CASE_10368 | NEW | HIGH | artifacts=1
CASE_10415 | NEW | HIGH | artifacts=1
CASE_10504 | NEW | HIGH | artifacts=1
CASE_10547 | NEW | HIGH | artifacts=1
CASE_10945 | NEW | HIGH | artifacts=2
CASE_10958 | NEW | HIGH | artifacts=2
CASE_10209 | NEW | HIGH | artifacts=1
CASE_10719 | NEW | HIGH | artifacts=1
CASE_10477 | NEW | HIGH | artifacts=1
CASE_10434 | NEW | HIGH | artifacts=1
CASE_1015 | NEW | HIGH | artifacts=1
CASE_10455 | NEW | HIGH | artifacts=1
CASE_10167 | NEW | HIGH | artifacts=1
CASE_105 | NEW | HIGH | artifacts=1
CASE_10537 | NEW | HIGH | artifacts=2
CASE_10464 | NEW | HIGH | artifacts=1
CASE_10992 | NEW | HIGH | artifacts=1
CASE_10807 | NEW | HIGH | artifacts=2
CASE_1034 | NEW | HIGH | artifacts=1
CASE_10596 | NEW | HIGH | artifacts=1
CASE_10440 | NEW | HIGH | artifacts=2
CASE_10305 | NEW | HIGH | artifacts=1
CASE_10484 | NEW | HIGH | artifacts=1
CASE_10166 | NEW | HIGH | artifacts=1
CASE_10369 | NEW | HIGH | artifacts=1
CASE_10342 | NEW | HIGH | artifacts=2
CASE_10252 | NEW | HIGH | artifacts=1
CASE_10855 | NEW | HIGH | artifacts=1
CASE_10249 | NEW | HIGH | artifacts=1
CASE_10402 | NEW | HIGH | artifacts=1
CASE_10941 | NEW | HIGH | artifacts=1
CASE_10229 | NEW | HIGH | artifacts=1
CASE_10961 | NEW | HIGH | artifacts=1
CASE_10671 | NEW | HIGH | artifacts=1
CASE_10156 | NEW | HIGH | artifacts=1
CASE_10299 | NEW | HIGH | artifacts=1
CASE_10689 | NEW | HIGH | artifacts=1
CASE_10147 | NEW | HIGH | artifacts=1
CASE_10207 | NEW | HIGH | artifacts=1
CASE_1014 | NEW | HIGH | artifacts=1
CASE_10450 | NEW | HIGH | artifacts=1
CASE_10683 | NEW | HIGH | artifacts=1
CASE_10400 | NEW | MEDIUM | artifacts=3
CASE_10473 | NEW | MEDIUM | artifacts=4
CASE_10332 | NEW | MEDIUM | artifacts=2
CASE_10201 | NEW | MEDIUM | artifacts=1
CASE_10953 | NEW | MEDIUM | artifacts=1
CASE_10801 | NEW | MEDIUM | artifacts=1
CASE_10656 | NEW | MEDIUM | artifacts=3
CASE_10107 | NEW | MEDIUM | artifacts=2
CASE_10600 | NEW | MEDIUM | artifacts=1
CASE_10874 | NEW | MEDIUM | artifacts=2
CASE_10524 | NEW | MEDIUM | artifacts=1
CASE_10609 | NEW | MEDIUM | artifacts=1
CASE_10741 | NEW | MEDIUM | artifacts=1
CASE_10534 | NEW | MEDIUM | artifacts=2
CASE_10165 | NEW | MEDIUM | artifacts=2
CASE_10187 | NEW | MEDIUM | artifacts=1
CASE_10649 | NEW | MEDIUM | artifacts=2
CASE_10466 | NEW | MEDIUM | artifacts=2
CASE_10374 | NEW | MEDIUM | artifacts=2
CASE_10548 | NEW | MEDIUM | artifacts=2
CASE_10688 | NEW | MEDIUM | artifacts=4
CASE_10718 | NEW | MEDIUM | artifacts=2
CASE_10616 | NEW | MEDIUM | artifacts=2
CASE_10409 | NEW | MEDIUM | artifacts=1
CASE_10303 | NEW | MEDIUM | artifacts=3
CASE_10248 | NEW | MEDIUM | artifacts=1
CASE_10443 | NEW | MEDIUM | artifacts=1
CASE_10930 | NEW | MEDIUM | artifacts=2
CASE_10977 | NEW | MEDIUM | artifacts=1
CASE_10387 | NEW | MEDIUM | artifacts=2
CASE_10529 | NEW | MEDIUM | artifacts=2
CASE_1047 | NEW | MEDIUM | artifacts=3
CASE_1054 | NEW | MEDIUM | artifacts=2
CASE_10885 | NEW | MEDIUM | artifacts=1
CASE_10157 | NEW | MEDIUM | artifacts=2
CASE_10502 | NEW | MEDIUM | artifacts=3
CASE_10295 | NEW | MEDIUM | artifacts=2
CASE_10516 | NEW | MEDIUM | artifacts=1
CASE_10354 | NEW | MEDIUM | artifacts=1
CASE_10728 | NEW | MEDIUM | artifacts=2
CASE_10210 | NEW | MEDIUM | artifacts=2
CASE_10985 | NEW | MEDIUM | artifacts=3
CASE_10453 | NEW | MEDIUM | artifacts=2
CASE_104 | NEW | MEDIUM | artifacts=1
CASE_1091 | NEW | MEDIUM | artifacts=2
CASE_10298 | NEW | MEDIUM | artifacts=1
CASE_1025 | NEW | MEDIUM | artifacts=1
CASE_10468 | NEW | MEDIUM | artifacts=1
CASE_10553 | NEW | MEDIUM | artifacts=1
CASE_10557 | NEW | MEDIUM | artifacts=3
CASE_10336 | NEW | MEDIUM | artifacts=2
CASE_10962 | NEW | MEDIUM | artifacts=2
CASE_10177 | NEW | MEDIUM | artifacts=1
CASE_10936 | NEW | MEDIUM | artifacts=2
CASE_10574 | NEW | MEDIUM | artifacts=2
CASE_101000 | NEW | MEDIUM | artifacts=1
CASE_10391 | NEW | MEDIUM | artifacts=2
CASE_10122 | NEW | MEDIUM | artifacts=1
CASE_1039 | NEW | MEDIUM | artifacts=2
CASE_10836 | NEW | MEDIUM | artifacts=3
CASE_10792 | NEW | MEDIUM | artifacts=2
CASE_10341 | NEW | MEDIUM | artifacts=1
CASE_10276 | NEW | MEDIUM | artifacts=1
CASE_10509 | NEW | MEDIUM | artifacts=2
CASE_10503 | NEW | MEDIUM | artifacts=3
CASE_10388 | NEW | MEDIUM | artifacts=1
CASE_10568 | NEW | MEDIUM | artifacts=1
CASE_10296 | NEW | MEDIUM | artifacts=2
CASE_10349 | NEW | MEDIUM | artifacts=1
CASE_10323 | NEW | MEDIUM | artifacts=2
CASE_10597 | NEW | MEDIUM | artifacts=2
CASE_10384 | NEW | MEDIUM | artifacts=2
CASE_10729 | NEW | MEDIUM | artifacts=2
CASE_10837 | NEW | MEDIUM | artifacts=2
CASE_10746 | NEW | MEDIUM | artifacts=3
CASE_10281 | NEW | MEDIUM | artifacts=1
CASE_10922 | NEW | MEDIUM | artifacts=1
CASE_1053 | NEW | MEDIUM | artifacts=2
CASE_10702 | NEW | MEDIUM | artifacts=1
CASE_10219 | NEW | MEDIUM | artifacts=1
CASE_10775 | NEW | MEDIUM | artifacts=2
CASE_10102 | NEW | MEDIUM | artifacts=1
CASE_10152 | NEW | MEDIUM | artifacts=1
CASE_10722 | NEW | MEDIUM | artifacts=2
CASE_10498 | NEW | MEDIUM | artifacts=1
CASE_10571 | NEW | MEDIUM | artifacts=1
CASE_10462 | NEW | MEDIUM | artifacts=2
CASE_1088 | NEW | MEDIUM | artifacts=1
CASE_10632 | NEW | MEDIUM | artifacts=1
CASE_10222 | NEW | MEDIUM | artifacts=1
CASE_10382 | NEW | MEDIUM | artifacts=1
CASE_10694 | NEW | MEDIUM | artifacts=1
CASE_10906 | NEW | MEDIUM | artifacts=1
CASE_10820 | NEW | MEDIUM | artifacts=1
CASE_10499 | NEW | MEDIUM | artifacts=2
CASE_1072 | NEW | MEDIUM | artifacts=1
CASE_10421 | NEW | MEDIUM | artifacts=1
CASE_10461 | NEW | MEDIUM | artifacts=1
CASE_10164 | NEW | MEDIUM | artifacts=1
CASE_1057 | NEW | MEDIUM | artifacts=2
CASE_10472 | NEW | MEDIUM | artifacts=1
CASE_1084 | NEW | MEDIUM | artifacts=1
CASE_10437 | NEW | MEDIUM | artifacts=3
CASE_10891 | NEW | MEDIUM | artifacts=2
CASE_10714 | NEW | MEDIUM | artifacts=2
CASE_10779 | NEW | MEDIUM | artifacts=2
CASE_10171 | NEW | MEDIUM | artifacts=1
CASE_10738 | NEW | MEDIUM | artifacts=2
CASE_10983 | NEW | MEDIUM | artifacts=2
CASE_10587 | NEW | MEDIUM | artifacts=1
CASE_10478 | NEW | MEDIUM | artifacts=1
CASE_10480 | NEW | MEDIUM | artifacts=3
CASE_1012 | NEW | MEDIUM | artifacts=1
CASE_10783 | NEW | MEDIUM | artifacts=1
CASE_1023 | NEW | MEDIUM | artifacts=1
CASE_10844 | NEW | MEDIUM | artifacts=1
CASE_10589 | NEW | MEDIUM | artifacts=2
CASE_10705 | NEW | MEDIUM | artifacts=2
CASE_10798 | NEW | MEDIUM | artifacts=1
CASE_10749 | NEW | MEDIUM | artifacts=1
CASE_1045 | NEW | MEDIUM | artifacts=2
CASE_10141 | NEW | MEDIUM | artifacts=1
CASE_10892 | NEW | MEDIUM | artifacts=2
CASE_10297 | NEW | MEDIUM | artifacts=2
CASE_10555 | NEW | MEDIUM | artifacts=1
CASE_10136 | NEW | MEDIUM | artifacts=1
CASE_10652 | NEW | MEDIUM | artifacts=3
CASE_10973 | NEW | MEDIUM | artifacts=1
CASE_10981 | NEW | MEDIUM | artifacts=1
CASE_1093 | NEW | MEDIUM | artifacts=2
CASE_10947 | NEW | MEDIUM | artifacts=2
CASE_10633 | NEW | MEDIUM | artifacts=1
CASE_10594 | NEW | MEDIUM | artifacts=1
CASE_10721 | NEW | MEDIUM | artifacts=2
CASE_10862 | NEW | MEDIUM | artifacts=1
CASE_10554 | NEW | MEDIUM | artifacts=1
CASE_10371 | NEW | MEDIUM | artifacts=1
CASE_10907 | NEW | MEDIUM | artifacts=1
CASE_1043 | NEW | MEDIUM | artifacts=2
CASE_10771 | NEW | MEDIUM | artifacts=1
CASE_10576 | NEW | MEDIUM | artifacts=1
CASE_10879 | NEW | MEDIUM | artifacts=1
CASE_10446 | NEW | MEDIUM | artifacts=1
CASE_10518 | NEW | MEDIUM | artifacts=1
CASE_10564 | NEW | MEDIUM | artifacts=1
CASE_10159 | NEW | MEDIUM | artifacts=3
CASE_10781 | NEW | MEDIUM | artifacts=1
CASE_10857 | NEW | MEDIUM | artifacts=1
CASE_10193 | NEW | MEDIUM | artifacts=2
CASE_10567 | NEW | MEDIUM | artifacts=1
CASE_10954 | NEW | MEDIUM | artifacts=1
CASE_10720 | NEW | MEDIUM | artifacts=1
CASE_10636 | NEW | MEDIUM | artifacts=1
CASE_10163 | NEW | MEDIUM | artifacts=1
CASE_10818 | NEW | MEDIUM | artifacts=2
CASE_10234 | NEW | MEDIUM | artifacts=1
CASE_10999 | NEW | MEDIUM | artifacts=1
CASE_10489 | NEW | MEDIUM | artifacts=1
CASE_10603 | NEW | MEDIUM | artifacts=1
CASE_10765 | NEW | MEDIUM | artifacts=1
CASE_10142 | NEW | MEDIUM | artifacts=1
CASE_10645 | NEW | MEDIUM | artifacts=1
CASE_10758 | NEW | MEDIUM | artifacts=1
CASE_10672 | NEW | MEDIUM | artifacts=1
CASE_10563 | NEW | MEDIUM | artifacts=1
CASE_10230 | NEW | MEDIUM | artifacts=1
CASE_10821 | NEW | MEDIUM | artifacts=1
CASE_10154 | NEW | MEDIUM | artifacts=1
CASE_10530 | NEW | MEDIUM | artifacts=1
CASE_10951 | NEW | MEDIUM | artifacts=1
CASE_10108 | NEW | MEDIUM | artifacts=1
CASE_10867 | NEW | MEDIUM | artifacts=1
CASE_10614 | NEW | MEDIUM | artifacts=1
CASE_1060 | NEW | MEDIUM | artifacts=1
CASE_10642 | NEW | MEDIUM | artifacts=1
CASE_10755 | NEW | MEDIUM | artifacts=1
CASE_1080 | NEW | MEDIUM | artifacts=1
CASE_10675 | NEW | MEDIUM | artifacts=1
CASE_10175 | NEW | MEDIUM | artifacts=1
CASE_10551 | NEW | LOW | artifacts=1
CASE_10914 | NEW | LOW | artifacts=1
CASE_1030 | NEW | LOW | artifacts=2
CASE_10291 | NEW | LOW | artifacts=1
CASE_10436 | NEW | LOW | artifacts=3
CASE_10121 | NEW | LOW | artifacts=1
CASE_10965 | NEW | LOW | artifacts=1
CASE_10786 | NEW | LOW | artifacts=2
CASE_10242 | NEW | LOW | artifacts=1
CASE_10401 | NEW | LOW | artifacts=1
CASE_10895 | NEW | LOW | artifacts=1
CASE_10621 | NEW | LOW | artifacts=1
CASE_10748 | NEW | LOW | artifacts=1
CASE_10317 | NEW | LOW | artifacts=1
CASE_10216 | NEW | LOW | artifacts=1
CASE_10665 | NEW | LOW | artifacts=1
CASE_10770 | NEW | LOW | artifacts=1
CASE_10882 | NEW | LOW | artifacts=1
CASE_10254 | NEW | LOW | artifacts=2
CASE_10560 | NEW | LOW | artifacts=1
CASE_10639 | NEW | LOW | artifacts=2
CASE_10283 | NEW | LOW | artifacts=2
CASE_10740 | NEW | LOW | artifacts=1
CASE_10824 | NEW | LOW | artifacts=1
CASE_10976 | NEW | LOW | artifacts=1
CASE_10948 | NEW | LOW | artifacts=1
CASE_10348 | NEW | LOW | artifacts=2
CASE_10301 | NEW | LOW | artifacts=2
CASE_10146 | NEW | LOW | artifacts=1
CASE_10591 | NEW | LOW | artifacts=2
CASE_1069 | NEW | LOW | artifacts=1
CASE_10429 | NEW | LOW | artifacts=2
CASE_10362 | NEW | LOW | artifacts=1
CASE_10399 | NEW | LOW | artifacts=2
CASE_10699 | NEW | LOW | artifacts=1
CASE_10145 | NEW | LOW | artifacts=2
CASE_10899 | NEW | LOW | artifacts=1
CASE_10637 | NEW | LOW | artifacts=1
CASE_10432 | NEW | LOW | artifacts=1
CASE_10752 | NEW | LOW | artifacts=1
CASE_10398 | NEW | LOW | artifacts=1
CASE_10785 | NEW | LOW | artifacts=1
CASE_1076 | NEW | LOW | artifacts=2
CASE_10579 | NEW | LOW | artifacts=1
CASE_10294 | NEW | LOW | artifacts=1
CASE_1086 | NEW | LOW | artifacts=1
CASE_10267 | NEW | LOW | artifacts=1
CASE_10338 | NEW | LOW | artifacts=1
CASE_10669 | NEW | LOW | artifacts=1
CASE_10188 | NEW | LOW | artifacts=2
CASE_10870 | NEW | LOW | artifacts=1
CASE_10505 | NEW | LOW | artifacts=1
CASE_10211 | NEW | LOW | artifacts=1
CASE_10583 | NEW | LOW | artifacts=1
CASE_10418 | NEW | LOW | artifacts=1
CASE_10987 | NEW | LOW | artifacts=2
CASE_10664 | NEW | LOW | artifacts=1
CASE_10148 | NEW | LOW | artifacts=1
CASE_10495 | NEW | LOW | artifacts=1
CASE_10522 | NEW | LOW | artifacts=1
CASE_10897 | NEW | LOW | artifacts=2
CASE_10199 | NEW | LOW | artifacts=1
CASE_10768 | NEW | LOW | artifacts=2
CASE_10431 | NEW | LOW | artifacts=1
CASE_1028 | NEW | LOW | artifacts=1
CASE_10139 | NEW | LOW | artifacts=1
CASE_10735 | NEW | LOW | artifacts=1
CASE_10769 | NEW | LOW | artifacts=1
CASE_10224 | NEW | LOW | artifacts=1
CASE_10184 | NEW | LOW | artifacts=1
CASE_10271 | NEW | LOW | artifacts=1
CASE_10631 | NEW | LOW | artifacts=1
CASE_1038 | NEW | LOW | artifacts=2
CASE_10573 | NEW | LOW | artifacts=2
CASE_10986 | NEW | LOW | artifacts=1
CASE_10884 | NEW | LOW | artifacts=1
CASE_1092 | NEW | LOW | artifacts=1
CASE_10246 | NEW | LOW | artifacts=1
CASE_10924 | NEW | LOW | artifacts=1
CASE_1074 | NEW | LOW | artifacts=1
CASE_1041 | NEW | LOW | artifacts=1
CASE_10397 | NEW | LOW | artifacts=1
CASE_10588 | NEW | LOW | artifacts=1
CASE_10423 | NEW | LOW | artifacts=1
CASE_1056 | NEW | LOW | artifacts=1
CASE_10448 | NEW | LOW | artifacts=2
CASE_10454 | NEW | LOW | artifacts=1
